Nome, Precision, Recall, Accuracy, F-score,Num Linhas, Outliers, eps, Minvalues 
000-20081023025304,0.43333333333333335,0.6666666666666666,0.9742647058823529,0.48717948717948717,907,8,64.11,7
000-20081024020959,0.16666666666666666,0.3333333333333333,0.0410958904109589,0.2222222222222222,243,12,4.85,7
000-20081026134407,0.288,0.3948717948717949,0.9013452914798207,0.3196248196248196,744,35,8.09,7
000-20081028003826,0.08333333333333333,0.3333333333333333,0.002257336343115124,0.13333333333333333,1476,5,22.02,7
000-20081029093038,0.3076923076923077,0.3431372549019608,0.4074074074074074,0.2294642857142857,181,11,4.34,7
000-20081103232153,0.5,0.6666666666666666,0.9970104633781763,0.5555555555555555,2230,5,50.12,7
000-20081110013637,1.0,1.0,1.0,1.0,271,6,40.31,7
000-20081111001704,0.48148148148148145,0.6651376146788991,0.9887133182844243,0.5376952549366342,1476,14,9.24,7
000-20081112023003,1.0,1.0,1.0,1.0,680,16,18.71,7
000-20081113034608,1.0,1.0,1.0,1.0,493,17,53.85,7
000-20081114015255,0.75,0.995,0.9900990099009901,0.830820770519263,336,4,140.04,7
000-20081114101436,0.4166666666666667,0.6666666666666666,0.967032967032967,0.4666666666666666,304,4,217.28,7
000-20081115010133,1.0,1.0,1.0,1.0,280,6,44.35,7
000-20081117051133,0.15277777777777776,0.3333333333333333,0.4583333333333333,0.20952380952380953,80,36,9.15,7
000-20081117155223,0.20967741935483872,0.27777777777777773,0.3617021276595745,0.20170940170940174,313,26,7.92,7
000-20081118095400,0.6666666666666666,0.589041095890411,0.7763157894736842,0.6227390180878553,253,9,23.17,7
000-20081119012806,0.05555555555555555,0.3333333333333333,0.16666666666666666,0.09523809523809523,80,13,7.03,7
000-20081120035736,0.8333333333333333,0.9642857142857143,0.9375,0.8814814814814815,54,6,14.97,7
000-20081122012309,1.0,1.0,1.0,1.0,306,8,60.72,7
000-20081201111827,0.3125,0.42105263157894735,0.32727272727272727,0.30312500000000003,182,17,4.26,7
000-20081203032326,0.3333333333333333,0.3333333333333333,0.11538461538461539,0.3333333333333333,86,11,5.25,7
000-20081203151206,1.0,1.0,1.0,1.0,278,3,14.02,7
000-20081212042525,0.6666666666666666,0.5454545454545454,0.6435643564356436,0.5925925925925926,337,7,20.32,7
000-20081212101236,0.05,0.25,0.10344827586206896,0.08333333333333334,95,10,5.83,7
000-20081214011036,0.5238095238095238,0.44294117647058817,0.4090909090909091,0.3216645353793691,145,6,7.48,7
000-20090330005208,1.0,1.0,1.0,1.0,1327,27,80.68,7
000-20090331003904,0.14814814814814814,0.3333333333333333,0.009195402298850575,0.2051282051282051,1449,13,15.0,7
000-20090401050607,0.125,0.25,0.014423076923076924,0.16666666666666666,692,9,10.22,7
000-20090402060732,1.0,1.0,1.0,1.0,1006,10,86.61,7
000-20090403011657,0.23529411764705882,0.3996232634801036,0.9967105263157895,0.25981145415979257,14185,11,110.0,7
000-20090405051938,0.9444444444444444,0.9995808885163453,0.9991673605328892,0.9703785916882477,4003,25,30.65,7
000-20090406023702,0.42105263157894735,0.6605783866057838,0.9687034277198212,0.46915002560163854,2237,18,5.57,7
000-20090409182800,0.35555555555555557,0.4144144144144144,0.25,0.1721014492753623,132,3,2.32,7
000-20090410021935,1.0,1.0,1.0,1.0,1885,8,19.55,7
000-20090411052358,0.875,0.9992526158445441,0.9985119047619048,0.9281974569932685,2238,11,68.22,7
000-20090412004905,0.04838709677419355,0.25,0.15384615384615385,0.08108108108108107,128,18,3.13,7
000-20090412073303,0.6428571428571428,0.9952290076335878,0.9904942965779467,0.719825290295089,1753,6,16.16,7
000-20090413050806,0.75,0.9974048442906575,0.9948364888123924,0.8320323793003759,1935,9,24.52,7
000-20090413144632,0.04310344827586207,0.25,0.1724137931034483,0.07352941176470588,97,16,2.26,7
000-20090413213935,0.0375,0.2,0.003205128205128205,0.06315789473684211,3118,11,22.5,7
000-20090415000406,1.0,1.0,1.0,1.0,144,4,8.39,7
000-20090415074008,0.8888888888888888,0.9989775051124745,0.9970760233918129,0.9328213005632361,1139,6,6.42,7
000-20090416002705,1.0,1.0,1.0,1.0,1818,11,68.01,7
000-20090417002430,1.0,1.0,1.0,1.0,897,7,35.12,7
000-20090418172238,0.6428571428571428,0.9509803921568627,0.9056603773584906,0.6964490263459336,177,7,4.82,7
000-20090419005226,1.0,1.0,1.0,1.0,2843,13,14.74,7
000-20090419175500,0.047619047619047616,0.2,0.058823529411764705,0.07692307692307691,284,15,5.0,7
000-20090420013034,1.0,1.0,1.0,1.0,978,8,70.86,7
000-20090420235106,1.0,1.0,1.0,1.0,582,4,160.22,7
000-20090422023859,0.7,0.9954407294832827,0.9909365558912386,0.7834242093784078,1102,6,155.25,7
000-20090422203607,0.34920634920634924,0.43478260869565216,0.2857142857142857,0.18585858585858586,94,4,3.3,7
000-20090423181101,0.30357142857142855,0.3169642857142857,0.3181818181818182,0.19386909693454846,221,19,2.02,7
000-20090424004737,0.9523809523809524,0.9722222222222222,0.9973684210526316,0.959866220735786,1265,20,9.24,7
000-20090424171137,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.16666666666666666,118,12,6.27,7
000-20090425005731,0.6111111111111112,0.6622939791456441,0.9869477911646586,0.6341628576265448,3320,16,32.75,7
000-20090426025714,1.0,1.0,1.0,1.0,2078,14,41.49,7
000-20090426175513,0.1125,0.2,0.2,0.144,151,31,8.01,7
000-20090427010230,1.0,1.0,1.0,1.0,1207,26,13.0,7
000-20090428051631,1.0,1.0,1.0,1.0,459,3,20.43,7
000-20090429005954,0.5,0.6651497914296549,0.9932356257046223,0.5547953883187634,2957,21,77.17,7
000-20090430032332,0.34375,0.49339708561020035,0.9736603088101726,0.38301799723119523,3669,10,8.0,7
000-20090501035138,0.7857142857142857,0.9979919678714859,0.996005326231691,0.8626303274190599,2504,12,22.5,7
000-20090502074907,1.0,1.0,1.0,1.0,2320,25,12.15,7
000-20090503033926,0.09523809523809523,0.3333333333333333,0.002824858757062147,0.14814814814814817,2358,7,37.35,7
000-20090504023301,0.4666666666666666,0.6179245283018867,0.8564814814814815,0.4975160547679632,721,13,10.01,7
000-20090504203925,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.16666666666666666,78,25,3.0,7
000-20090505032432,0.5333333333333333,0.641156462585034,0.9246231155778895,0.5700707338638372,664,10,7.55,7
000-20090505195337,0.4102564102564103,0.5079365079365079,0.5555555555555556,0.3541666666666667,151,11,5.09,7
000-20090506125906,0.09333333333333334,0.3333333333333333,0.1206896551724138,0.14583333333333334,194,22,14.01,7
000-20090507024201,1.0,1.0,1.0,1.0,1079,13,45.34,7
000-20090507192952,0.04666666666666667,0.2,0.14,0.07567567567567567,165,23,9.02,7
000-20090508015405,0.5357142857142857,0.8333333333333333,0.675,0.4666666666666667,132,4,5.05,7
000-20090508100431,0.5,0.6412698412698413,0.9245283018867925,0.5423542354235423,354,3,6.41,7
000-20090509050136,0.75,0.9968944099378882,0.9938271604938271,0.8317757009345794,539,3,86.21,7
000-20090509181636,0.2121212121212121,0.32666666666666666,0.40384615384615385,0.17795918367346938,172,7,1.38,7
000-20090510222007,0.40740740740740744,0.4444444444444444,0.38461538461538464,0.28787878787878785,87,8,4.2,7
000-20090511064136,0.375,0.6666666666666666,0.9492753623188406,0.40740740740740744,460,5,7.19,7
000-20090511174427,0.8125,0.9727272727272727,0.95,0.8705966930265996,200,17,4.02,7
000-20090512013109,1.0,1.0,1.0,1.0,1083,16,30.89,7
000-20090512195558,0.05555555555555555,0.3333333333333333,0.06666666666666667,0.09523809523809523,99,5,3.03,7
000-20090513054336,1.0,1.0,1.0,1.0,644,7,66.3,7
000-20090514015425,0.6666666666666666,0.9900990099009901,0.9803921568627451,0.745,679,5,52.22,7
000-20090515014004,1.0,1.0,1.0,1.0,977,7,162.1,7
000-20090517054624,0.875,0.9983333333333333,0.9966996699669967,0.9277367040305271,1010,11,16.02,7
000-20090518064638,0.48,0.5276260504201681,0.9518716577540107,0.4705317104420244,1246,41,8.96,7
000-20090519174038,0.6875,0.712121212121212,0.5588235294117647,0.5206971677559913,113,3,6.01,7
000-20090520010901,0.2076923076923077,0.23783783783783785,0.14545454545454545,0.07845117845117845,184,4,3.99,7
000-20090520125535,0.6923076923076922,0.7653508771929824,0.5714285714285714,0.5562610229276895,93,3,6.05,7
000-20090520210235,0.013888888888888888,0.3333333333333333,0.041666666666666664,0.02666666666666666,78,4,5.02,7
000-20090521045307,0.3333333333333333,0.3333333333333333,0.011695906432748537,0.3333333333333333,570,6,32.01,7
000-20090522094234,0.6,0.6666666666666666,0.9973958333333334,0.6296296296296297,2559,25,23.26,7
000-20090523011253,0.9,0.9995446265938069,0.9990925589836661,0.9442166540116427,3674,14,150.0,7
000-20090524094557,0.39999999999999997,0.509641873278237,0.5476190476190477,0.3417417417417418,421,18,3.09,7
000-20090524215455,0.75,0.9921875,0.9846153846153847,0.8293963254593175,217,4,10.03,7
000-20090525093647,1.0,1.0,1.0,1.0,1371,8,76.28,7
000-20090526040256,1.0,1.0,1.0,1.0,764,10,25.06,7
000-20090526170706,0.06818181818181818,0.25,0.05084745762711865,0.10714285714285714,195,11,5.07,7
000-20090527080105,1.0,1.0,1.0,1.0,1772,13,25.5,7
000-20090528012338,0.5,0.6656586021505376,0.994994994994995,0.5550507599977564,3329,17,20.4,7
000-20090530034445,0.8333333333333333,0.9991935483870968,0.9983922829581994,0.8995964487489911,2074,6,956.73,7
000-20090531031407,0.75,0.5875,0.9273743016759777,0.6296296296296297,597,7,13.03,7
000-20090602035536,0.20833333333333334,0.3333333333333333,0.014005602240896359,0.25641025641025644,1188,17,11.89,7
000-20090602185307,0.07407407407407407,0.20222222222222222,0.024844720496894408,0.10341880341880343,537,9,8.25,7
000-20090603064302,1.0,1.0,1.0,1.0,1071,14,12.08,7
000-20090604053730,0.08333333333333333,0.3333333333333333,0.004545454545454545,0.13333333333333333,1467,7,11.22,7
000-20090605012707,0.0909090909090909,0.3333333333333333,0.006109979633401222,0.14285714285714285,1635,11,25.09,7
000-20090606060037,0.14285714285714285,0.3333333333333333,0.007407407407407408,0.19999999999999998,1349,9,17.03,7
000-20090607075255,0.05555555555555555,0.25,0.010309278350515464,0.0909090909090909,645,8,6.27,7
000-20090607163831,0.038461538461538464,0.25,0.12121212121212122,0.06666666666666668,108,13,2.54,7
000-20090608060034,1.0,1.0,1.0,1.0,874,4,16.64,7
000-20090609002030,0.7647058823529411,0.996383363471971,0.9928251121076234,0.8443389641211783,3715,30,5.0,7
000-20090610062438,1.0,1.0,1.0,1.0,626,5,31.12,7
000-20090610223636,1.0,1.0,1.0,1.0,1845,13,104.71,7
000-20090611221204,0.027777777777777776,0.16666666666666666,0.05,0.047619047619047616,266,13,11.48,7
000-20090612072227,0.3333333333333333,0.3333333333333333,0.004739336492890996,0.3333333333333333,704,4,12.01,7
000-20090612220336,1.0,1.0,1.0,1.0,4783,8,253.03,7
000-20090614065303,0.16666666666666666,0.3333333333333333,0.004807692307692308,0.2222222222222222,1386,8,20.0,7
000-20090615055603,0.625,0.9844559585492227,0.9692307692307692,0.6921052631578948,648,7,10.0,7
000-20090615183206,0.5526315789473684,0.6458333333333334,0.34615384615384615,0.3210445468509985,86,8,2.2,7
000-20090616054128,0.875,0.9990706319702602,0.9981515711645101,0.9281063122923587,3607,20,68.89,7
000-20090618005931,0.1111111111111111,0.3333333333333333,0.006172839506172839,0.16666666666666666,539,5,18.53,7
000-20090619004036,0.3194444444444444,0.4978494623655914,0.9728601252609603,0.3576157385670016,1596,15,15.03,7
000-20090620024527,0.8333333333333333,0.9975247524752475,0.9950980392156863,0.8987593052109182,681,8,105.73,7
000-20090621101407,0.5454545454545454,0.6666666666666666,0.9928443649373881,0.5925925925925926,1863,22,15.03,7
000-20090622095432,0.8333333333333333,0.9978448275862069,0.9957264957264957,0.8989200863930886,778,8,27.9,7
000-20090623043635,0.8,0.9981515711645101,0.9963235294117647,0.874074074074074,1813,9,210.15,7
000-20090624070430,1.0,1.0,1.0,1.0,639,6,191.64,7
000-20090624215736,1.0,1.0,1.0,1.0,86,3,111.0,7
000-20090625041631,0.75,0.923076923076923,0.9950083194675541,0.7565217391304347,2002,3,25.0,7
000-20090626101307,0.27777777777777773,0.1923076923076923,0.08743169398907104,0.1777777777777778,609,8,12.63,7
000-20090627025208,0.35714285714285715,0.4441176470588235,0.7840909090909091,0.3685430463576159,292,9,3.0,7
000-20090627101821,0.048,0.2,0.011090573012939002,0.07741935483870968,1802,21,9.01,7
000-20090628005229,1.0,1.0,1.0,1.0,5847,9,191.79,7
000-20090629011630,0.125,0.3333333333333333,0.0050335570469798654,0.1818181818181818,1985,11,10.34,7
000-20090629173335,1.0,1.0,1.0,1.0,918,10,69.09,7
000-20090630045606,1.0,1.0,1.0,1.0,801,8,39.61,7
000-20090701044033,0.42424242424242425,0.5609756097560976,0.68,0.4133885438233264,167,20,2.1,7
000-20090701171936,0.8333333333333334,0.9649122807017544,0.9285714285714286,0.8703703703703702,93,5,6.08,7
000-20090702022530,0.5454545454545454,0.6666666666666666,0.9976838448176027,0.5925925925925926,5756,22,40.31,7
000-20090703002800,1.0,1.0,1.0,1.0,1787,14,57.06,7
000-20090705025307,0.9166666666666667,0.9992732558139534,0.9985569985569985,0.9541818181818182,2311,17,10.24,7
001-20081023055305,1.0,1.0,1.0,1.0,960,7,41.8,7
001-20081023234104,1.0,1.0,1.0,1.0,2127,9,148.27,7
