 Nome, Num Linhas, Outliers, eps, Minvalues 
000-20081023025304,907,8,0,7
000-20081024020959,243,12,0,7
000-20081026134407,744,35,0,7
000-20081028003826,1476,5,0,7
000-20081029093038,181,11,0,7
000-20081103232153,2230,5,0,7
000-20081110013637,271,6,0,7
000-20081111001704,1476,14,0,7
000-20081112023003,680,16,0,7
000-20081113034608,493,17,0,7
000-20081114015255,336,4,0,7
000-20081114101436,304,4,0,7
000-20081115010133,280,6,0,7
000-20081117051133,80,36,0,7
000-20081117155223,313,26,0,7
000-20081118095400,253,9,0,7
000-20081119012806,80,13,0,7
000-20081119112035,418,2,0,7
000-20081120035736,54,6,0,7
000-20081122012309,306,8,0,7
000-20081201111827,182,17,0,7
000-20081203032326,86,11,0,7
000-20081203151206,278,3,0,7
000-20081203234939,84,1,0,7
000-20081210023503,131,2,0,7
000-20081211121432,120,2,0,7
000-20081212042525,337,7,0,7
000-20081212101236,95,10,0,7
000-20081214011036,145,6,0,7
000-20090330005208,1327,27,0,7
000-20090331003904,1449,13,0,7
000-20090401050607,692,9,0,7
000-20090402060732,1006,10,0,7
000-20090403011657,14185,11,0,7
000-20090405051938,4003,25,0,7
000-20090406023702,2237,18,0,7
000-20090409182800,132,3,0,7
000-20090410021935,1885,8,0,7
000-20090411052358,2238,11,0,7
000-20090412004905,128,18,0,7
000-20090412073303,1753,6,0,7
000-20090413050806,1935,9,0,7
000-20090413144632,97,16,0,7
000-20090413213935,3118,11,0,7
000-20090415000406,144,4,0,7
000-20090415074008,1139,6,0,7
000-20090416002705,1818,11,0,7
000-20090417002430,897,7,0,7
000-20090418172238,177,7,0,7
000-20090419005226,2843,13,0,7
000-20090419175500,284,15,0,7
000-20090420013034,978,8,0,7
000-20090420235106,582,4,0,7
000-20090422023859,1102,6,0,7
000-20090422203607,94,4,0,7
000-20090423092838,278,1,0,7
000-20090423181101,221,19,0,7
000-20090424004737,1265,20,0,7
000-20090424171137,118,12,0,7
000-20090425005731,3320,16,0,7
000-20090426025714,2078,14,0,7
000-20090426175513,151,31,0,7
000-20090427010230,1207,26,0,7
000-20090427215826,185,2,0,7
000-20090428051631,459,3,0,7
000-20090429005954,2957,21,0,7
000-20090430032332,3669,10,0,7
000-20090501035138,2504,12,0,7
000-20090502074907,2320,25,0,7
000-20090503033926,2358,7,0,7
000-20090504023301,721,13,0,7
000-20090504203925,78,25,0,7
000-20090505032432,664,10,0,7
000-20090505195337,151,11,0,7
000-20090506125906,194,22,0,7
000-20090507024201,1079,13,0,7
000-20090507192952,165,23,0,7
000-20090508015405,132,4,0,7
000-20090508100431,354,3,0,7
