Lat,Long,Alt_m,Diftime,dist_Km,speed_m
39.970175,116.303232,420.0,5.0,0.01,2.56
39.970148,116.303085,418.0,5.0,0.01,2.58
39.970106,116.30303,417.0,5.0,0.01,1.32
39.970066,116.302896,414.0,5.0,0.01,2.45
39.970006,116.302829,411.0,5.0,0.01,1.76
39.969968,116.302731,408.0,5.0,0.01,1.87
39.969927,116.302681,406.0,5.0,0.01,1.25
39.969912,116.302592,403.0,5.0,0.01,1.55
39.969879,116.302534,400.0,5.0,0.01,1.23
39.969861,116.302488,399.0,5.0,0.0,0.88
39.969797,116.302459,397.0,5.0,0.01,1.51
39.969758,116.302452,396.0,5.0,0.0,0.88
39.969719,116.302498,393.0,5.0,0.01,1.17
39.969677,116.302552,391.0,5.0,0.01,1.31
39.969709,116.302645,390.0,5.0,0.01,1.74
39.969814,116.302574,386.0,5.0,0.01,2.63
39.969812,116.30245,384.0,5.0,0.01,2.11
39.969802,116.302452,384.0,5.0,0.0,0.22
39.969802,116.302452,384.0,3.0,0.0,0.0
39.9698,116.302451,384.0,2.0,0.0,0.12
39.969801,116.302432,383.0,5.0,0.0,0.32
39.969801,116.302432,383.0,3.0,0.0,0.0
39.969796,116.302427,383.0,2.0,0.0,0.35
39.969794,116.302418,383.0,5.0,0.0,0.16
39.969785,116.302393,383.0,5.0,0.0,0.47
39.969786,116.302384,383.0,5.0,0.0,0.15
39.969785,116.302363,383.0,5.0,0.0,0.36
39.969785,116.302363,383.0,3.0,0.0,0.0
39.969785,116.30236,383.0,2.0,0.0,0.13
39.96967,116.302178,379.0,5.0,0.02,4.02
39.969463,116.302093,378.0,5.0,0.02,4.83
39.969437,116.302068,377.0,5.0,0.0,0.72
39.96944,116.302067,377.0,5.0,0.0,0.07
39.96944,116.30206,377.0,5.0,0.0,0.12
39.969445,116.302057,377.0,5.0,0.0,0.12
39.969448,116.302052,377.0,5.0,0.0,0.11
39.969449,116.302046,377.0,5.0,0.0,0.1
39.969453,116.302041,376.0,5.0,0.0,0.12
39.969456,116.302036,376.0,5.0,0.0,0.11
39.969456,116.30203,376.0,5.0,0.0,0.1
39.969458,116.302025,376.0,5.0,0.0,0.1
39.969459,116.302018,376.0,5.0,0.0,0.12
39.969463,116.302013,376.0,5.0,0.0,0.12
39.969463,116.302013,376.0,3.0,0.0,0.0
39.969464,116.302009,375.0,2.0,0.0,0.18
39.96946,116.301999,375.0,5.0,0.0,0.19
39.969439,116.301997,375.0,5.0,0.0,0.47
39.968959,116.300742,368.0,5.0,0.12,23.91
39.968677,116.300964,363.0,5.0,0.04,7.32
39.968055,116.301293,352.0,5.0,0.07,14.93
39.965715,116.30169,288.0,5.0,0.02,4.09
39.965316,116.301752,280.0,5.0,0.04,8.94
39.964872,116.301847,274.0,5.0,0.05,10.01
39.964268,116.30214,271.0,5.0,0.07,14.33
39.963453,116.302362,266.0,5.0,0.09,18.52
39.962494,116.302534,266.0,5.0,0.11,21.53
39.961664,116.302623,263.0,5.0,0.09,18.52
39.961196,116.302706,256.0,5.0,0.05,10.5
39.961182,116.302701,249.0,5.0,0.0,0.32
39.961183,116.302701,249.0,5.0,0.0,0.02
39.961182,116.302701,249.0,5.0,0.0,0.02
39.961181,116.302695,249.0,5.0,0.0,0.1
39.961187,116.30269,249.0,5.0,0.0,0.16
39.961188,116.302688,249.0,5.0,0.0,0.04
39.961192,116.302681,249.0,5.0,0.0,0.15
39.961195,116.302675,248.0,5.0,0.0,0.12
39.961194,116.302672,248.0,5.0,0.0,0.06
39.961194,116.302672,248.0,5.0,0.0,0.0
39.961198,116.302671,248.0,5.0,0.0,0.09
39.961198,116.302671,248.0,3.0,0.0,0.0
39.961196,116.302671,248.0,2.0,0.0,0.11
39.961198,116.302649,247.0,5.0,0.0,0.38
39.961197,116.302633,247.0,5.0,0.0,0.27
39.961196,116.302633,247.0,5.0,0.0,0.02
39.961196,116.302633,247.0,3.0,0.0,0.0
39.961194,116.302633,246.0,2.0,0.0,0.11
39.961185,116.302578,245.0,5.0,0.0,0.96
39.961189,116.302546,245.0,5.0,0.0,0.55
39.961187,116.302532,244.0,5.0,0.0,0.24
39.961185,116.302521,244.0,5.0,0.0,0.19
39.961181,116.302509,244.0,5.0,0.0,0.22
39.961167,116.302482,243.0,5.0,0.0,0.56
39.961156,116.302454,243.0,5.0,0.0,0.54
39.961141,116.302431,242.0,5.0,0.0,0.51
39.961174,116.302044,234.0,5.0,0.03,6.64
39.960625,116.302039,223.0,5.0,0.06,12.21
39.959981,116.302092,219.0,5.0,0.07,14.35
39.959323,116.302236,219.0,5.0,0.07,14.84
39.958716,116.302198,217.0,5.0,0.07,13.51
39.958109,116.302392,211.0,5.0,0.07,13.9
39.957532,116.30261,208.0,5.0,0.07,13.36
39.956983,116.302895,206.0,5.0,0.07,13.14
39.956433,116.30298,200.0,5.0,0.06,12.32
39.956315,116.303088,199.0,5.0,0.02,3.21
39.956281,116.303108,200.0,5.0,0.0,0.83
39.956249,116.303114,201.0,5.0,0.0,0.72
39.956237,116.303114,202.0,5.0,0.0,0.27
39.956217,116.303112,202.0,5.0,0.0,0.45
39.956217,116.303112,202.0,3.0,0.0,0.0
39.956217,116.30311,203.0,2.0,0.0,0.09
39.956205,116.303103,203.0,5.0,0.0,0.29
39.956205,116.303103,203.0,3.0,0.0,0.0
39.956199,116.303102,204.0,2.0,0.0,0.34
39.956087,116.303129,199.0,5.0,0.01,2.53
39.955968,116.303191,198.0,5.0,0.01,2.85
39.955897,116.303227,196.0,5.0,0.01,1.69
39.955864,116.303185,193.0,5.0,0.01,1.03
39.955843,116.303134,192.0,5.0,0.0,0.99
39.955833,116.303108,190.0,5.0,0.0,0.5
39.955831,116.303108,190.0,5.0,0.0,0.04
39.955831,116.303108,190.0,3.0,0.0,0.0
