Lat,Long,Alt_m,Diftime,dist_Km,speed_m
39.973008,116.333833,34.0,945.0,0.03,0.03
39.973456,116.334231,42.0,1315.0,0.03,0.02
39.973515,116.334313,63.0,1047.0,0.03,0.03
39.973355,116.334525,30.0,857.0,0.02,0.03
39.973541,116.334386,98.0,690.0,0.03,0.04
39.973332,116.333673,57.0,627.0,0.03,0.04
39.973381,116.333653,37.0,705.0,0.03,0.04
39.973423,116.334711,39.0,-86395.0,0.0,-0.0
39.973471,116.333631,17.0,1340.0,0.02,0.02
39.97328,116.33384,43.0,775.0,0.03,0.04
39.972027,116.333122,-74.0,13994.0,0.29,0.02
40.058262,116.404017,-113.0,490.0,0.03,0.07
40.058241,116.403573,94.0,5490.0,0.04,0.01
40.057535,116.403874,43.0,958.0,0.03,0.03
