nome , Num Reg , X , Knee 
000-20081023025304 , 907 , 898 , 64.11
000-20081024020959 , 243 , 235 , 4.85
000-20081026134407 , 744 , 715 , 8.09
000-20081028003826 , 1476 , 1470 , 22.02
000-20081029093038 , 181 , 174 , 4.34
000-20081103232153 , 2230 , 2224 , 50.12
000-20081110013637 , 271 , 264 , 40.31
000-20081111001704 , 1476 , 1466 , 9.24
000-20081112023003 , 680 , 665 , 18.71
000-20081113034608 , 493 , 475 , 53.85
000-20081114015255 , 336 , 330 , 140.04
000-20081114101436 , 304 , 299 , 217.28
000-20081115010133 , 280 , 273 , 44.35
000-20081117051133 , 80 , 72 , 9.15
000-20081117155223 , 313 , 309 , 7.92
000-20081118095400 , 253 , 249 , 23.17
000-20081119012806 , 80 , 77 , 7.03
000-20081119112035 , 418 , 415 , 91.69
000-20081120035736 , 54 , 47 , 14.97
000-20081122012309 , 306 , 297 , 60.72
000-20081201111827 , 182 , 175 , 4.26
000-20081203032326 , 86 , 74 , 5.25
000-20081203151206 , 278 , 274 , 14.02
000-20081203234939 , 84 , 82 , 135.12
000-20081210023503 , 131 , 128 , 9.21
000-20081211121432 , 120 , 116 , 9.01
000-20081212042525 , 337 , 329 , 20.32
000-20081212101236 , 95 , 88 , 5.83
000-20081214011036 , 145 , 137 , 7.48
000-20090330005208 , 1327 , 1312 , 80.68
000-20090331003904 , 1449 , 1435 , 15.0
000-20090401050607 , 692 , 682 , 10.22
000-20090402060732 , 1006 , 1001 , 86.61
000-20090403011657 , 14185 , 14172 , 110.0
000-20090405051938 , 4003 , 3979 , 30.65
000-20090406023702 , 2237 , 2218 , 5.57
000-20090409182800 , 132 , 125 , 2.32
000-20090410021935 , 1885 , 1878 , 19.55
000-20090411052358 , 2238 , 2229 , 68.22
000-20090412004905 , 128 , 119 , 3.13
000-20090412073303 , 1753 , 1746 , 16.16
000-20090413050806 , 1935 , 1929 , 24.52
000-20090413144632 , 97 , 87 , 2.26
000-20090413213935 , 3118 , 3106 , 22.5
000-20090415000406 , 144 , 139 , 8.39
000-20090415074008 , 1139 , 1132 , 6.42
