 Nome, Num Linhas, Outliers, eps, Minvalues 
07-07-2017-ap-d29dabb1706d-pml,1125,8,0,4
11-05-2017-ap-d29dabb1706d-pml,747,6,0,4
12-05-2017-ap-d29dabb1706d-pml,93,1,0,4
12-06-2017-ap-d29dabb1706d-pml,1079,6,0,4
14-06-2017-ap-d29dabb1706d-pml,1325,8,0,4
21-06-2017-ap-d29dabb1706d-pml,1524,10,0,4
22-06-2017-ap-d29dabb1706d-pml,1036,6,0,4
28-06-2017-ap-d29dabb1706d-pml,1524,10,0,4
29-06-2017-ap-d29dabb1706d-pml,1036,6,0,4
30-06-2017-ap-d29dabb1706d-pml,194,5,0,4
16-07-2017-ap-f23404d79221-pml,235,2,0,4
17-07-2017-ap-f23404d79221-pml,163,1,0,4
18-07-2017-ap-f23404d79221-pml,482,3,0,4
19-07-2017-ap-f23404d79221-pml,222,2,0,4
21-07-2017-ap-f23404d79221-pml,391,1,0,4
22-07-2017-ap-f23404d79221-pml,321,3,0,4
15-07-2017-ap-02738d854419-pml,108,4,0,4
19-07-2017-ap-02738d854419-pml,719,1,0,4
