Nome,Num Linhas, Out knee, eps, num clusters 
07-07-2017-ap-d29dabb1706d-pml,1125,8,0.005,9
11-05-2017-ap-d29dabb1706d-pml,747,6,0.005,5
12-05-2017-ap-d29dabb1706d-pml,93,1,0.005,3
12-06-2017-ap-d29dabb1706d-pml,1079,6,0.005,5
14-06-2017-ap-d29dabb1706d-pml,1325,8,0.005,4
21-06-2017-ap-d29dabb1706d-pml,1524,10,0.005,5
22-06-2017-ap-d29dabb1706d-pml,1036,6,0.005,6
28-06-2017-ap-d29dabb1706d-pml,1524,10,0.005,5
29-06-2017-ap-d29dabb1706d-pml,1036,6,0.005,6
30-06-2017-ap-d29dabb1706d-pml,194,5,0.005,6
16-07-2017-ap-f23404d79221-pml,235,2,0.005,6
17-07-2017-ap-f23404d79221-pml,163,1,0.005,5
18-07-2017-ap-f23404d79221-pml,482,3,0.005,4
19-07-2017-ap-f23404d79221-pml,222,2,0.005,4
20-07-2017-ap-f23404d79221-pml,267,0,0.005,3
21-07-2017-ap-f23404d79221-pml,391,1,0.005,6
22-07-2017-ap-f23404d79221-pml,321,3,0.005,5
23-07-2017-ap-f23404d79221-pml,47,0,0.005,2
25-07-2017-ap-f23404d79221-pml,328,0,0.005,4
15-07-2017-ap-02738d854419-pml,108,4,0.005,3
17-07-2017-ap-02738d854419-pml,495,0,0.005,3
18-07-2017-ap-02738d854419-pml,853,0,0.005,2
19-07-2017-ap-02738d854419-pml,719,1,0.005,2
20-07-2017-ap-02738d854419-pml,355,0,0.005,1
23-07-2017-ap-02738d854419-pml,18,0,0.005,1
24-07-2017-ap-02738d854419-pml,496,0,0.005,3
