Nome, Precision, Recall, Accuracy, F-score,Num Linhas, Outliers, eps, Minvalues 
07-07-2017-ap-d29dabb1706d-pml,0.031746031746031744,0.1111111111111111,0.005917159763313609,0.04938271604938272,1125,8,0.005,4
11-05-2017-ap-d29dabb1706d-pml,0.27999999999999997,0.36,0.02666666666666667,0.2920634920634921,747,6,0.005,4
12-06-2017-ap-d29dabb1706d-pml,0.26666666666666666,0.4,0.8549382716049383,0.3,1079,6,0.005,4
14-06-2017-ap-d29dabb1706d-pml,0.125,0.25,0.005025125628140704,0.16666666666666666,1325,8,0.005,4
21-06-2017-ap-d29dabb1706d-pml,0.075,0.2,0.006550218340611353,0.10909090909090909,1524,10,0.005,4
22-06-2017-ap-d29dabb1706d-pml,0.06666666666666667,0.16666666666666666,0.006430868167202572,0.09523809523809525,1036,6,0.005,4
28-06-2017-ap-d29dabb1706d-pml,0.075,0.2,0.006550218340611353,0.10909090909090909,1524,10,0.005,4
29-06-2017-ap-d29dabb1706d-pml,0.06666666666666667,0.16666666666666666,0.006430868167202572,0.09523809523809525,1036,6,0.005,4
30-06-2017-ap-d29dabb1706d-pml,0.06666666666666667,0.16666666666666666,0.03389830508474576,0.09523809523809525,194,5,0.005,4
18-07-2017-ap-f23404d79221-pml,0.6,0.44960000000000006,0.2827586206896552,0.47948717948717945,482,3,0.005,4
22-07-2017-ap-f23404d79221-pml,0.2,0.2,0.010309278350515464,0.2,321,3,0.005,4
15-07-2017-ap-02738d854419-pml,1.0,1.0,1.0,1.0,108,4,0.005,4
