latitude,longitude
37.146,-8.54241
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1427,-8.54496
37.1388,-8.54352
37.1388,-8.54352
37.1388,-8.54352
37.1388,-8.54352
37.1388,-8.54352
37.1388,-8.54352
37.1388,-8.54352
37.1388,-8.54352
37.1388,-8.54352
37.1388,-8.54352
37.1372,-8.54634
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1371,-8.5415
37.1369,-8.54607
37.1373,-8.54046
37.1373,-8.54046
37.1371,-8.5415
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1371,-8.5415
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1369,-8.54607
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1371,-8.5415
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.137,-8.5394
37.137,-8.5394
37.137,-8.5394
37.137,-8.5394
37.137,-8.5394
37.1373,-8.54046
37.137,-8.5394
37.1373,-8.54046
37.137,-8.5394
37.137,-8.5394
37.1373,-8.54046
37.1374,-8.53752
37.1373,-8.54046
37.137,-8.5394
37.137,-8.5394
37.1374,-8.53752
37.137,-8.5394
37.1373,-8.54046
37.1373,-8.54046
37.1373,-8.54046
37.137,-8.5394
37.1374,-8.53752
37.1373,-8.54046
37.137,-8.5394
37.1362,-8.53747
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1372,-8.5379
37.1373,-8.53984
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1373,-8.53984
37.1373,-8.53984
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1374,-8.53752
37.1373,-8.53984
37.1373,-8.53984
37.1373,-8.53984
37.1373,-8.53984
37.1371,-8.53867
37.1373,-8.53984
37.1368,-8.53902
37.137,-8.53884
37.1373,-8.53984
37.1373,-8.53984
37.1373,-8.53984
37.1373,-8.53984
37.137,-8.53884
37.1382,-8.53685
37.137,-8.53884
37.1373,-8.53984
37.1373,-8.53984
37.137,-8.53884
37.1373,-8.53984
37.137,-8.53884
37.1373,-8.53984
37.1369,-8.53889
37.1382,-8.53685
37.137,-8.53884
37.137,-8.53884
37.1373,-8.53984
37.1373,-8.53984
37.137,-8.53713
37.1373,-8.53764
37.1373,-8.53773
37.1356,-8.53726
37.1365,-8.53702
37.1362,-8.53747
37.137,-8.53713
37.1373,-8.53764
37.1368,-8.53687
37.1368,-8.53687
37.1373,-8.53764
37.1368,-8.53687
37.1373,-8.53764
37.1373,-8.53764
37.1362,-8.53747
37.1368,-8.53687
37.1369,-8.53747
37.1369,-8.53885
37.1362,-8.53747
37.1373,-8.53764
37.1369,-8.53747
37.1369,-8.53901
37.1367,-8.53877
37.1389,-8.53699
37.1389,-8.53699
37.1389,-8.53699
37.1389,-8.53699
37.1382,-8.53685
37.137,-8.53867
37.1368,-8.53893
37.137,-8.53884
37.137,-8.53884
37.137,-8.53884
37.137,-8.53884
37.137,-8.53884
37.1369,-8.53889
37.137,-8.53884
37.1369,-8.53893
37.1369,-8.53893
37.1369,-8.53889
37.1368,-8.53902
37.1369,-8.53889
37.137,-8.53884
37.1355,-8.53713
37.1368,-8.53893
37.137,-8.53884
37.1368,-8.53893
37.1369,-8.53885
37.1356,-8.53726
37.1374,-8.53818
37.1368,-8.53687
37.1362,-8.53747
37.1369,-8.53901
37.1356,-8.53726
37.1355,-8.53713
37.1355,-8.53713
37.1356,-8.53726
37.1355,-8.53721
37.1355,-8.53721
37.1355,-8.53721
37.1355,-8.53721
37.1355,-8.53721
37.1355,-8.53713
37.1355,-8.53721
37.1355,-8.53713
37.1355,-8.53713
37.1355,-8.53721
37.1355,-8.53721
37.1355,-8.53721
37.1355,-8.53721
37.1355,-8.53721
37.1355,-8.53721
37.1355,-8.53721
37.1355,-8.53713
37.1355,-8.53721
37.1355,-8.53713
37.1355,-8.53713
37.1355,-8.53713
37.1369,-8.53889
37.1372,-8.5379
37.1373,-8.53984
37.137,-8.5394
37.137,-8.5394
37.1373,-8.53984
37.137,-8.5394
37.137,-8.5394
37.137,-8.5394
37.137,-8.5394
37.1371,-8.5415
37.1371,-8.5415
37.1372,-8.54634
37.1372,-8.54634
37.1372,-8.54634
37.1372,-8.54634
37.1368,-8.54925
37.1372,-8.54634
37.1372,-8.54634
37.1368,-8.54925
37.1372,-8.54634
37.1372,-8.54634
37.1368,-8.54925
37.1368,-8.54925
37.1368,-8.54925
37.1368,-8.54925
37.1368,-8.54925
37.1368,-8.54925
37.1368,-8.54925
37.1368,-8.54925
37.1368,-8.54925
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1368,-8.54925
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1367,-8.55261
37.1366,-8.5546
37.1366,-8.5546
37.1367,-8.55261
37.1366,-8.5546
37.1366,-8.5546
37.1366,-8.5546
37.1364,-8.55512
37.1366,-8.5546
37.1366,-8.5546
37.1366,-8.5546
37.1366,-8.5546
37.1366,-8.5546
37.1364,-8.55512
37.1364,-8.55512
37.1364,-8.55512
37.1364,-8.55512
37.1366,-8.5546
37.1352,-8.56498
37.1352,-8.56498
37.1352,-8.56498
37.1376,-8.56746
37.1376,-8.56746
37.1358,-8.56251
37.1356,-8.56501
37.1358,-8.56251
37.1396,-8.57159
37.1396,-8.57159
37.1396,-8.57159
37.1396,-8.57159
37.1396,-8.57159
37.1396,-8.57159
37.1396,-8.57159
37.1396,-8.57159
37.1396,-8.57159
37.1396,-8.57159
37.136,-8.56534
37.1383,-8.57053
37.1393,-8.57147
37.1383,-8.57053
37.1393,-8.57147
37.1395,-8.57154
37.1396,-8.57154
37.1396,-8.57154
37.1393,-8.57147
37.1393,-8.57147
37.1395,-8.57154
37.138,-8.56958
37.138,-8.56958
37.1379,-8.56752
37.1379,-8.56752
37.138,-8.56958
37.1379,-8.56752
37.1379,-8.56752
37.138,-8.56958
37.1379,-8.56752
37.1379,-8.56752
37.1334,-8.56844
37.1356,-8.56501
37.1356,-8.56501
37.1364,-8.56091
37.1356,-8.56501
37.1351,-8.56451
37.1355,-8.56406
37.1355,-8.56406
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1334,-8.56844
37.1356,-8.56501
37.1358,-8.56251
37.1356,-8.56501
37.1356,-8.56501
37.1358,-8.56251
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1356,-8.56501
37.1375,-8.56707
37.1375,-8.56707
37.1375,-8.56707
37.1375,-8.56707
37.138,-8.56958
37.138,-8.56958
37.138,-8.56958
37.138,-8.56958
37.138,-8.56958
37.1394,-8.57157
37.1393,-8.57147
37.136,-8.56534
37.136,-8.56534
37.1358,-8.56251
37.1358,-8.56251
37.1358,-8.56251
37.1358,-8.56251
37.1358,-8.56251
37.1364,-8.56091
37.1337,-8.55249
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1293,-8.55067
37.1291,-8.55067
37.1291,-8.55067
37.1291,-8.55067
37.1291,-8.55067
37.1291,-8.55067
37.1272,-8.54207
37.1272,-8.54207
37.1276,-8.54683
37.1272,-8.54207
37.1276,-8.54683
37.1272,-8.54207
37.1272,-8.54207
37.1272,-8.54207
37.127,-8.53862
37.127,-8.53862
37.127,-8.53862
37.127,-8.53862
37.127,-8.53862
37.127,-8.53862
37.127,-8.53862
37.127,-8.53862
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53862
37.127,-8.53862
37.127,-8.53862
37.127,-8.53862
37.127,-8.53744
37.127,-8.53744
37.127,-8.53862
37.127,-8.53744
37.127,-8.53744
37.127,-8.53862
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.1271,-8.53618
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.1271,-8.53618
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.127,-8.53744
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1272,-8.53728
37.1271,-8.53618
37.1276,-8.5376
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1276,-8.5376
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1272,-8.53728
37.1272,-8.53728
37.1272,-8.53728
37.1272,-8.53728
37.1271,-8.53618
37.1271,-8.53618
37.1272,-8.53728
37.1272,-8.53728
37.1272,-8.53728
37.1272,-8.53728
37.1271,-8.53618
37.1271,-8.53618
37.1276,-8.5376
37.1272,-8.53728
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1271,-8.53618
37.1276,-8.5376
37.1276,-8.5376
37.1276,-8.5376
37.1282,-8.53876
37.1282,-8.53876
37.1294,-8.54022
37.1306,-8.53918
37.1346,-8.53922
37.1346,-8.53922
37.1346,-8.53922
37.1341,-8.53888
37.1341,-8.53888
37.1349,-8.53955
37.1341,-8.53888
37.1341,-8.53888
37.1352,-8.53897
37.1349,-8.53955
37.1352,-8.53903
37.1373,-8.53984
37.1349,-8.53955
37.1349,-8.53955
37.1352,-8.53897
37.1352,-8.53903
37.1373,-8.53984
37.1373,-8.53984
37.1373,-8.53984
37.1373,-8.53984
37.1352,-8.53897
37.1372,-8.5379
37.1372,-8.5379
37.1372,-8.5379
37.1372,-8.5379
37.1373,-8.53984
37.1372,-8.5379
37.1372,-8.5379
37.1373,-8.53764
37.1373,-8.53764
37.1368,-8.53687
37.1368,-8.53687
37.137,-8.5371
37.1374,-8.53818
37.137,-8.5371
37.137,-8.5371
