Nome, Precision, Recall, Accuracy, F-score,Num Linhas, Outliers, Minvalues 
07-07-2017-ap-d29dabb1706d-pml,0.950381679389313,0.8163934426229508,0.7958579881656804,0.8783068783068781,1125,109,26
11-05-2017-ap-d29dabb1706d-pml,1.0,0.7475247524752475,0.7733333333333333,0.8555240793201133,747,75,23
12-05-2017-ap-d29dabb1706d-pml,0.85,0.68,0.6071428571428571,0.7555555555555556,93,9,23
12-06-2017-ap-d29dabb1706d-pml,0.9710743801652892,0.8047945205479452,0.8024691358024691,0.8801498127340824,1079,106,21
14-06-2017-ap-d29dabb1706d-pml,0.9335548172757475,0.7805555555555556,0.7512562814070352,0.8502269288956128,1325,126,28
21-06-2017-ap-d29dabb1706d-pml,0.9734748010610079,0.8907766990291263,0.8799126637554585,0.9302915082382763,1524,152,29
22-06-2017-ap-d29dabb1706d-pml,0.9289099526066351,0.7,0.6816720257234726,0.7983706720977596,1036,103,36
28-06-2017-ap-d29dabb1706d-pml,0.9734748010610079,0.8907766990291263,0.8799126637554585,0.9302915082382763,1524,152,29
29-06-2017-ap-d29dabb1706d-pml,0.9289099526066351,0.7,0.6816720257234726,0.7983706720977596,1036,103,36
30-06-2017-ap-d29dabb1706d-pml,1.0,0.8596491228070176,0.864406779661017,0.9245283018867925,194,8,17
16-07-2017-ap-f23404d79221-pml,0.9516129032258065,0.921875,0.8873239436619719,0.9365079365079365,235,24,17
17-07-2017-ap-f23404d79221-pml,0.9736842105263158,0.8409090909090909,0.8367346938775511,0.9024390243902439,163,17,18
18-07-2017-ap-f23404d79221-pml,1.0,0.7480916030534351,0.7724137931034483,0.8558951965065502,482,46,50
19-07-2017-ap-f23404d79221-pml,0.9074074074074074,0.8166666666666667,0.7611940298507462,0.8596491228070176,222,23,9
20-07-2017-ap-f23404d79221-pml,1.0,0.6133333333333333,0.6419753086419753,0.7603305785123966,267,21,28
21-07-2017-ap-f23404d79221-pml,0.978021978021978,0.839622641509434,0.8389830508474576,0.9035532994923858,391,39,12
22-07-2017-ap-f23404d79221-pml,1.0,0.7840909090909091,0.8041237113402062,0.8789808917197451,321,30,47
23-07-2017-ap-f23404d79221-pml,1.0,0.4,0.4,0.5714285714285715,47,0,13
25-07-2017-ap-f23404d79221-pml,0.8717948717948718,0.7640449438202247,0.6868686868686869,0.8143712574850299,328,33,49
15-07-2017-ap-02738d854419-pml,1.0,0.9333333333333333,0.9393939393939394,0.9655172413793104,108,11,47
17-07-2017-ap-02738d854419-pml,0.9624060150375939,0.9411764705882353,0.912751677852349,0.9516728624535316,495,43,13
18-07-2017-ap-02738d854419-pml,0.9273743016759777,0.7186147186147186,0.6953125,0.8097560975609756,853,83,20
19-07-2017-ap-02738d854419-pml,0.9691358024691358,0.8092783505154639,0.8055555555555556,0.8820224719101123,719,72,24
20-07-2017-ap-02738d854419-pml,0.9659090909090909,0.8854166666666666,0.8691588785046729,0.9239130434782609,355,35,27
Nome, Precision, Recall, Accuracy, F-score,Num Linhas, Outliers, Minvalues 
Nome, Precision, Recall, Accuracy, F-score,Num Linhas, Outliers, Minvalues 
07-07-2017-ap-d29dabb1706d-pml,0.950381679389313,0.8163934426229508,0.7958579881656804,0.8783068783068781,1125,109,26
