 Nome, Num Linhas, Outliers, Minvalues 
07-07-2017-ap-d29dabb1706d-pml,1125,109,26
11-05-2017-ap-d29dabb1706d-pml,747,75,23
12-05-2017-ap-d29dabb1706d-pml,93,9,23
12-06-2017-ap-d29dabb1706d-pml,1079,106,21
14-06-2017-ap-d29dabb1706d-pml,1325,126,28
21-06-2017-ap-d29dabb1706d-pml,1524,152,29
22-06-2017-ap-d29dabb1706d-pml,1036,103,36
28-06-2017-ap-d29dabb1706d-pml,1524,152,29
29-06-2017-ap-d29dabb1706d-pml,1036,103,36
30-06-2017-ap-d29dabb1706d-pml,194,8,17
16-07-2017-ap-f23404d79221-pml,235,24,17
17-07-2017-ap-f23404d79221-pml,163,17,18
18-07-2017-ap-f23404d79221-pml,482,46,50
19-07-2017-ap-f23404d79221-pml,222,23,9
20-07-2017-ap-f23404d79221-pml,267,21,28
21-07-2017-ap-f23404d79221-pml,391,39,12
22-07-2017-ap-f23404d79221-pml,321,30,47
23-07-2017-ap-f23404d79221-pml,47,0,13
25-07-2017-ap-f23404d79221-pml,328,33,49
15-07-2017-ap-02738d854419-pml,108,11,47
17-07-2017-ap-02738d854419-pml,495,43,13
18-07-2017-ap-02738d854419-pml,853,83,20
19-07-2017-ap-02738d854419-pml,719,72,24
20-07-2017-ap-02738d854419-pml,355,35,27
 Nome, Num Linhas, Outliers, Minvalues 
 Nome, Num Linhas, Outliers, Minvalues 
07-07-2017-ap-d29dabb1706d-pml,1125,109,26
