latitude,longitude
37.1856,-8.5866
37.1773,-8.58026
37.1613,-8.56718
37.162,-8.57747
37.162,-8.57747
37.1555,-8.5381
37.1555,-8.5381
37.1485,-8.540389999999999
37.1485,-8.540389999999999
37.155,-8.53779
37.1339,-8.53871
37.1311,-8.5396
37.1349,-8.53704
37.1345,-8.53726
37.1339,-8.53707
37.1332,-8.537939999999999
37.1339,-8.53707
37.1311,-8.5396
37.1311,-8.5396
37.1311,-8.5396
37.1311,-8.5396
37.1311,-8.5396
37.1311,-8.5396
37.1311,-8.5396
37.1311,-8.5396
37.1311,-8.5396
37.1311,-8.5396
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1301,-8.541039999999999
37.1312,-8.5389
37.1301,-8.541039999999999
37.1301,-8.541039999999999
37.1301,-8.541039999999999
37.1301,-8.541039999999999
37.1312,-8.5389
37.1312,-8.5389
37.1311,-8.54
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1312,-8.5389
37.1311,-8.54
37.1311,-8.54
37.1311,-8.54
37.1311,-8.54
37.1311,-8.54
37.1311,-8.54
37.1311,-8.54
37.1311,-8.54
37.1311,-8.54
37.1301,-8.541039999999999
37.1301,-8.541039999999999
37.1301,-8.541039999999999
37.1301,-8.541039999999999
37.1345,-8.53726
37.1348,-8.53711
37.1339,-8.537339999999999
37.1343,-8.53682
37.1339,-8.53726
37.1368,-8.53918
37.1388,-8.53927
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1388,-8.53927
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1388,-8.53927
37.1388,-8.53927
37.1388,-8.53927
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1388,-8.53927
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1388,-8.53927
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1388,-8.53927
37.1388,-8.53927
37.1388,-8.53927
37.1388,-8.53927
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1398,-8.539489999999999
37.1411,-8.53838
37.1411,-8.53838
37.1405,-8.53611
37.1402,-8.535960000000001
37.1409,-8.53611
37.1405,-8.535739999999999
37.1412,-8.53647
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1412,-8.53647
37.1402,-8.535960000000001
37.1402,-8.535960000000001
37.1402,-8.535960000000001
37.1402,-8.535960000000001
37.1402,-8.535960000000001
37.1402,-8.535960000000001
37.1402,-8.535960000000001
37.1406,-8.53614
37.1405,-8.53611
37.1406,-8.53571
37.1406,-8.53619
37.1407,-8.53617
37.1405,-8.53562
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1411,-8.53838
37.1417,-8.54352
37.1417,-8.54352
37.1417,-8.54352
37.1417,-8.54352
37.1488,-8.53998
37.1488,-8.53998
37.155,-8.53779
37.155,-8.53779
37.155,-8.53779
37.155,-8.53779
37.155,-8.53779
37.155,-8.53779
37.162,-8.57747
37.17,-8.57964
37.18,-8.58329
