latitude,longitude
37.1332,-8.57301
37.1272,-8.5857
37.1272,-8.5857
37.1272,-8.5857
37.1341,-8.538860000000001
37.1357,-8.536439999999999
37.135,-8.53635
37.1341,-8.538860000000001
37.1363,-8.53864
37.1347,-8.57363
37.1347,-8.57363
37.1272,-8.5857
37.1272,-8.5857
37.1272,-8.5857
37.1272,-8.5857
37.1272,-8.5857
37.1272,-8.5857
37.1346,-8.53608
37.1333,-8.54331
37.1346,-8.53608
37.1346,-8.53608
37.1346,-8.53608
37.1333,-8.54331
37.1327,-8.53837
37.1327,-8.53837
37.1327,-8.53837
37.1327,-8.53837
37.1327,-8.53837
37.1327,-8.53837
37.1327,-8.53837
37.1327,-8.53837
37.1302,-8.53854
37.1302,-8.53854
37.1302,-8.53854
37.1302,-8.53854
37.1302,-8.53854
37.1354,-8.54546
37.1354,-8.54546
37.1354,-8.54546
