Nome, Precision, Recall, Accuracy, F-score, Num linhas, Outliers, Neigbours 
000-20081023025304,0.9955156950672646,0.8222222222222222,0.8198529411764706,0.9006085192697769,907,6,4
000-20081024020959,0,0,0,0,0,0,0
000-20081026134407,0,0,0,0,0,0,0
000-20081027115449,1.0,0.7692307692307693,0.8,0.8695652173913044,49,5,3
000-20081028003826,0,0,0,0,0,0,0
000-20081029093038,0.9761904761904762,0.82,0.8148148148148148,0.8913043478260869,181,13,4
000-20081103232153,0,0,0,0,0,0,0
000-20081110013637,0,0,0,0,0,0,0
000-20081111001704,0,0,0,0,0,0,0
000-20081112023003,1.0,0.8762376237623762,0.8774509803921569,0.9340369393139842,680,8,11
000-20081112091400,0,0,0,0,0,0,0
000-20081113034608,1.0,0.7465753424657534,0.75,0.8549019607843137,493,5,11
000-20081114015255,0,0,0,0,0,0,0
000-20081114101436,0.9852941176470589,0.8170731707317073,0.8241758241758241,0.8933333333333334,304,31,3
000-20081115010133,0,0,0,0,0,0,0
000-20081117051133,0.9130434782608695,0.9545454545454546,0.875,0.9333333333333332,80,8,19
000-20081117155223,0.9333333333333333,1.0,0.9361702127659575,0.9655172413793104,313,32,18
000-20081118095005,1.0,0.25,0.3333333333333333,0.4,31,3,3
000-20081118095400,0,0,0,0,0,0,0
000-20081119012806,1.0,0.9090909090909091,0.9166666666666666,0.9523809523809523,80,8,3
000-20081119112035,0,0,0,0,0,0,0
000-20081120035736,0,0,0,0,0,0,0
000-20081121113038,1.0,0.25,0.3076923076923077,0.4,42,4,12
000-20081122012309,1.0,0.7777777777777778,0.782608695652174,0.8750000000000001,306,6,5
000-20081201111827,0,0,0,0,0,0,0
000-20081202071136,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,46,5,20
000-20081202071531,0,0,0,0,0,0,0
000-20081203032326,1.0,0.72,0.7307692307692307,0.8372093023255813,86,4,5
000-20081203151206,0,0,0,0,0,0,0
000-20081203234939,0,0,0,0,0,0,0
000-20081210023503,0,0,0,0,0,0,0
000-20081211121432,1.0,1.0,1.0,1.0,120,6,19
000-20081212042525,1.0,0.7319587628865979,0.7425742574257426,0.8452380952380951,337,14,4
000-20081212101236,0,0,0,0,0,0,0
000-20081214011036,0,0,0,0,0,0,0
000-20090330005208,1.0,0.8477157360406091,0.8492462311557789,0.9175824175824175,1327,12,8
000-20090331003904,0,0,0,0,0,0,0
000-20090401050607,0.9753086419753086,0.8449197860962567,0.8413461538461539,0.9054441260744985,692,69,3
000-20090401202331,0,0,0,0,0,0,0
000-20090402060732,0.9884615384615385,0.8595317725752508,0.8509933774834437,0.9194991055456171,1006,9,5
000-20090403011657,0,0,0,0,0,0,0
000-20090405051938,0.9636533084808947,0.9565217391304348,0.9283930058284763,0.9600742804085423,4003,401,13
