Nome, Num Registos, Outliers, Neigbours 
000-20081023025304,907,6,4
000-20081024020959,243,7,1
000-20081026134407,744,34,1
000-20081027115449,49,5,3
000-20081028003826,1476,148,1
000-20081029093038,181,13,4
000-20081103232153,2230,223,1
000-20081110013637,271,26,2
000-20081111001704,1476,67,1
000-20081112023003,680,8,11
000-20081112091400,26,3,2
000-20081113034608,493,5,11
000-20081114015255,336,23,2
000-20081114101436,304,31,3
000-20081115010133,280,15,2
000-20081117051133,80,8,19
000-20081117155223,313,32,18
000-20081118095005,31,3,3
000-20081118095400,253,22,1
000-20081119012806,80,8,3
000-20081119112035,418,42,1
000-20081120035736,54,6,2
000-20081121113038,42,4,12
000-20081122012309,306,6,5
000-20081201111827,182,18,2
000-20081202071136,46,5,20
000-20081202071531,50,5,1
000-20081203032326,86,4,5
000-20081203151206,278,28,1
000-20081203234939,84,9,1
000-20081210023503,131,13,1
000-20081211121432,120,6,19
000-20081212042525,337,14,4
000-20081212101236,95,10,2
000-20081214011036,145,3,1
000-20090330005208,1327,12,8
000-20090331003904,1449,77,1
000-20090401050607,692,69,3
000-20090401202331,24,2,2
000-20090402060732,1006,9,5
000-20090403011657,14185,1419,1
000-20090405051938,4003,401,13
000-20090406023702,2237,44,1
000-20090409182800,132,13,20
000-20090410021935,1885,189,4
000-20090411052358,2238,224,1
000-20090412004905,128,5,4
000-20090412073303,1753,176,1
000-20090413050806,1935,45,1
000-20090413144632,97,10,11
000-20090413213935,3118,312,1
000-20090415000406,144,3,7
000-20090415074008,1139,13,1
000-20090416002705,1818,182,1
000-20090417002430,897,90,1
000-20090418172238,177,4,8
000-20090419005226,2843,285,3
000-20090419175500,284,7,4
000-20090420013034,978,98,1
000-20090420235106,582,58,1
000-20090422023859,1102,110,3
000-20090422203607,94,10,1
000-20090423092838,278,9,1
000-20090423181101,221,18,17
000-20090424004737,1265,127,3
000-20090424171137,118,12,20
000-20090425005731,3320,332,1
000-20090426025714,2078,208,1
000-20090426175513,151,4,2
000-20090427010230,1207,121,6
000-20090427215826,185,5,1
000-20090428051631,459,7,1
000-20090429005954,2957,296,8
000-20090430032332,3669,367,1
000-20090501035138,2504,251,1
000-20090502074907,2320,232,6
000-20090503033926,2358,236,1
000-20090504023301,721,72,1
000-20090504203925,78,6,2
000-20090505032432,664,15,1
000-20090505195337,151,3,4
000-20090506125906,194,20,1
000-20090507024201,1079,108,1
000-20090507192952,165,8,6
000-20090508015405,132,12,2
000-20090508100431,354,23,5
000-20090509050136,539,54,1
000-20090509181636,172,5,12
000-20090510020206,816,82,1
000-20090510222007,87,5,4
000-20090511064136,460,46,1
000-20090511174427,200,20,18
000-20090512013109,1083,25,8
000-20090512195558,99,10,14
000-20090513054336,644,65,4
000-20090514015425,679,68,1
000-20090515014004,977,5,6
000-20090516091038,316,32,1
000-20090517054624,1010,101,2
000-20090517220626,373,37,2
000-20090518064638,1246,125,2
000-20090519094537,454,46,1
000-20090519174038,113,4,19
000-20090520010901,184,19,1
000-20090520125535,93,5,4
000-20090520210235,78,8,1
000-20090521045307,570,8,4
000-20090521231053,1020,28,3
000-20090522094234,2559,256,11
000-20090523011253,3674,368,1
000-20090524094557,421,41,9
000-20090524215455,217,8,15
000-20090525093647,1371,137,2
000-20090526040256,764,77,3
000-20090526170706,195,5,18
000-20090527080105,1772,177,9
000-20090528012338,3329,333,1
000-20090530034445,2074,209,3
000-20090531031407,597,60,1
000-20090531192301,105,4,4
000-20090601082932,107,4,1
000-20090602035536,1188,119,1
000-20090602185307,537,10,9
000-20090603064302,1071,107,2
000-20090604053730,1467,147,1
000-20090605012707,1635,164,4
000-20090606060037,1349,135,3
000-20090607075255,645,14,1
000-20090607163831,108,11,20
000-20090608060034,874,88,1
000-20090609002030,3715,372,12
000-20090610062438,626,8,1
000-20090610223636,1845,185,1
000-20090611221204,266,10,2
000-20090612072227,704,17,1
000-20090612220336,4783,479,1
000-20090614065303,1386,139,2
000-20090615055603,648,65,1
000-20090615183206,86,9,1
000-20090616054128,3607,361,2
000-20090618005931,539,54,1
000-20090619004036,1596,8,12
000-20090620024527,681,25,7
000-20090621101407,1863,187,1
000-20090622095432,778,13,2
000-20090623043635,1813,182,1
000-20090623233404,149,15,1
000-20090624070430,639,8,6
000-20090624215736,86,4,18
000-20090625041631,2002,30,1
000-20090626101307,609,21,4
000-20090627025208,292,6,16
000-20090627101821,1802,180,1
000-20090628005229,5847,585,1
000-20090629011630,1985,199,1
000-20090629173335,918,41,9
000-20090630045606,801,9,7
000-20090701044033,167,17,20
000-20090701171936,93,8,9
000-20090702022530,5756,576,1
000-20090703002800,1787,179,1
000-20090704042634,435,3,2
000-20090705025307,2311,231,1
001-20081023055305,960,29,1
001-20081023234104,2127,213,1
001-20081024234405,7074,708,1
001-20081025231428,3675,368,1
001-20081026081229,3235,324,1
001-20081027111634,826,10,1
001-20081027233029,497,6,16
001-20081027235802,98,8,3
001-20081028102805,646,11,5
001-20081028233053,335,3,13
001-20081028235048,251,25,1
001-20081029110529,731,8,3
001-20081029234123,1987,199,1
001-20081030233959,1481,148,1
001-20081101004235,3711,371,1
001-20081102030834,1942,129,1
001-20081102233452,536,54,1
001-20081103133204,477,48,2
001-20081103233729,648,65,1
001-20081104054859,1888,33,14
001-20081104234436,746,75,1
001-20081105110052,5717,572,1
001-20081106051423,253,3,1
001-20081106133604,542,5,5
001-20081106233404,2899,290,1
001-20081108034358,3811,381,1
001-20081109033335,2471,247,8
001-20081110233534,788,8,1
001-20081111114304,322,3,4
001-20081111234235,1611,161,1
001-20081112234504,831,10,7
001-20081113121334,494,50,1
001-20081113234558,655,5,1
001-20081114130723,980,76,20
001-20081115003535,5662,566,19
001-20081116024429,2788,279,1
001-20081116235322,999,100,1
001-20081117042454,3027,242,1
001-20081117234459,693,20,1
001-20081118003844,144,15,12
001-20081118132804,820,17,1
001-20081118235053,858,86,1
001-20081119104736,1778,178,1
001-20081120121822,696,9,1
001-20081120234905,862,86,1
001-20081201102704,720,72,2
001-20081202000605,490,49,2
001-20081202145929,481,48,2
001-20081203000505,515,51,2
001-20081203112659,537,54,1
001-20081203235305,933,7,1
001-20081204142253,565,4,3
001-20081205002359,858,86,2
001-20081205143505,494,50,1
001-20081205235730,2867,287,1
001-20081206040725,58,3,12
001-20081206083854,32,3,4
001-20081206084030,116,9,10
001-20081207030135,2563,257,2
001-20081208001534,533,20,1
001-20081208142853,602,60,2
001-20081209002004,6958,696,1
001-20081210001529,834,24,1
001-20081210080559,1455,123,1
001-20081210235522,887,89,1
001-20081211110523,918,39,1
001-20081212000534,1841,184,3
001-20081212141923,690,14,1
001-20081213092204,7583,759,1
001-20081214080334,896,90,2
001-20081214235553,538,54,1
022-20090110031933,2501,250,5
022-20090111061633,2054,206,1
022-20090112051804,4207,421,6
022-20090113094804,10661,1066,1
022-20090114230822,1444,145,1
022-20090116005004,17903,1791,1
022-20090117223222,19959,1996,1
022-20090120040252,3809,381,1
022-20090120212134,3703,371,1
022-20090203081234,4173,418,1
022-20090204033634,3891,389,4
022-20090206044603,4238,424,1
022-20090206224834,2328,233,1
022-20090207092704,1823,50,1
022-20090208050522,1628,163,1
022-20090209022058,6377,638,1
022-20090210010335,673,13,1
022-20090210083728,1686,169,8
022-20090211154127,1414,142,1
022-20090212011658,682,68,2
022-20090212103652,111,11,2
022-20090213023557,6169,617,1
022-20090214030328,5180,518,1
022-20090216044933,4469,447,6
022-20090217084403,1891,189,3
022-20090219110435,203,4,1
022-20090220034329,3339,334,5
022-20090220235358,4903,491,1
022-20090222041103,3145,315,1
022-20090223013458,41,4,5
022-20090223013921,1412,141,4
022-20090304112717,251,25,2
022-20090305004834,6759,676,1
022-20090307012251,2784,279,5
022-20090308010157,766,10,7
022-20090308015737,61,4,2
022-20090308083628,1469,147,1
022-20090309042903,820,82,3
022-20090309124533,1510,151,1
022-20090310002934,1533,154,2
022-20090310124822,714,72,2
022-20090311012103,9183,919,1
022-20090312021222,577,10,3
022-20090312124057,824,83,2
022-20090313022704,649,4,1
022-20090320121232,926,25,1
022-20090321025054,2418,242,12
022-20090322052028,4188,419,1
022-20090323000907,751,6,7
022-20090324064808,266,27,1
022-20090326010354,2783,279,1
022-20090327003702,428,43,3
022-20090402103456,845,37,1
022-20090403020507,2599,53,1
022-20090405063006,966,20,1
022-20090408033801,1400,72,7
022-20090408144751,146,5,19
022-20090409002328,846,36,1
022-20090410001221,6463,647,14
022-20090411164032,1194,120,1
022-20090413001437,2420,237,2
022-20090413131558,793,13,6
022-20090414011304,602,60,1
022-20090415235538,369,14,1
022-20090417032525,5160,516,1
022-20090418045734,1354,7,6
022-20090419024851,2241,224,4
022-20090422011155,4399,440,1
022-20090423000103,3997,400,1
022-20090423152905,60,3,19
022-20090424142731,155,16,1
022-20090425045823,4481,448,1
022-20090426030236,168,3,5
022-20090426120923,25,3,3
022-20090426121143,871,75,5
022-20090427052253,3763,377,1
022-20090428000237,5496,550,1
022-20090428235106,802,80,1
022-20090429073007,2675,268,1
022-20090430014307,4833,484,1
022-20090501064754,3734,374,1
022-20090502044205,11674,1168,1
022-20090504013301,1015,20,1
022-20090505091437,1896,68,9
022-20090505235207,39,2,4
022-20090505235557,6739,674,1
022-20090506234838,315,4,2
022-20090507160759,239,4,1
022-20090509005007,366,5,1
022-20090509141500,227,23,1
022-20090510020907,3132,115,1
022-20090511000217,3477,348,1
022-20090512000434,6426,643,1
022-20090513041800,2590,259,18
022-20090513171825,3119,312,1
022-20090514135435,549,55,2
022-20090515001531,1621,162,1
022-20090515223755,666,34,1
022-20090520141659,161,5,1
022-20090521040554,760,7,1
022-20090527134731,320,7,1
022-20090528111033,2282,228,10
022-20090529044030,592,59,1
022-20090529145025,126,8,2
022-20090531161438,6101,610,1
022-20090603103753,2412,241,1
022-20090606030330,4922,492,1
022-20090608001025,3257,326,1
022-20090609001153,5426,543,1
022-20090609232837,6319,632,1
022-20090610232737,6622,662,1
022-20090615060859,155,15,20
022-20090615145004,273,3,14
022-20090615233430,5191,519,1
022-20090617030954,4627,463,1
022-20090618141034,315,3,4
022-20090620013537,4050,405,1
022-20090621014030,5311,531,1
022-20090623071332,1072,25,1
022-20090625235124,3723,373,1
022-20090627074954,3011,301,1
022-20090629002637,6782,678,1
022-20090630002904,7180,718,1
022-20090701110154,270,27,1
022-20090702053010,30,3,2
022-20090706070306,2212,221,8
022-20090706235307,2324,233,1
022-20090707133001,10152,1015,1
022-20090709025206,8953,896,1
022-20090711052205,13538,1354,1
022-20090713000234,2398,240,1
022-20090714000506,4856,486,1
022-20090714234904,6507,651,1
022-20090716002654,669,18,1
022-20090716042557,10288,1029,1
022-20090717132508,35497,3550,2
022-20090721005532,6192,619,1
022-20090721234300,141,14,4
022-20090723013354,5295,530,1
022-20090724034333,278,23,10
022-20090724040924,4635,464,1
022-20090726090535,286,4,2
022-20090727002804,1325,133,3
