Lat,Long,Alt_m,Diftime,dist_Km,speed_m
39.970679,116.304349,68.0,1.0,0.01,10.47
39.970746999999996,116.30423,35.0,1.0,0.01,12.65
39.970675,116.30420500000001,55.0,1.0,0.01,8.28
39.97071,116.30413200000001,31.0,1.0,0.01,7.34
39.970721000000005,116.3041,25.0,2.0,0.0,1.5
39.970731,116.304135,21.0,1.0,0.0,3.18
39.970674,116.30416699999999,47.0,1.0,0.01,6.9
39.970646,116.30417299999999,55.0,1.0,0.0,3.16
39.970609,116.30418799999998,58.0,2.0,0.0,2.15
39.970566999999996,116.304202,60.0,5.0,0.0,0.96
39.970555,116.304208,53.0,4.0,0.0,0.36
39.970554,116.30421899999999,46.0,2.0,0.0,0.47
39.970519,116.30423600000002,43.0,4.0,0.0,1.04
39.970482000000004,116.304243,43.0,5.0,0.0,0.83
39.97043,116.304253,43.0,5.0,0.01,1.17
39.970399,116.304255,48.0,2.0,0.0,1.73
39.970349,116.304299,48.0,4.0,0.01,1.68
39.970304999999996,116.304317,49.0,4.0,0.01,1.28
39.970265999999995,116.30435200000001,49.0,3.0,0.01,1.75
39.97023,116.3044,47.0,3.0,0.01,1.91
39.970187,116.304395,48.0,5.0,0.0,0.96
39.97014,116.304406,48.0,5.0,0.01,1.06
39.970116,116.304397,47.0,5.0,0.0,0.56
39.970078,116.30441499999999,46.0,5.0,0.0,0.9
39.970028000000006,116.304426,46.0,5.0,0.01,1.13
39.969988,116.30443600000001,46.0,5.0,0.0,0.91
39.96995,116.304442,47.0,5.0,0.0,0.85
39.969924,116.30439799999999,46.0,5.0,0.0,0.95
39.969913,116.30433000000001,43.0,5.0,0.01,1.18
39.969904,116.30425600000001,43.0,5.0,0.01,1.28
39.969896999999996,116.304193,42.0,3.0,0.01,1.81
39.969871999999995,116.30415900000001,43.0,5.0,0.0,0.8
39.969844,116.304115,42.0,5.0,0.0,0.97
39.969793,116.304103,41.0,4.0,0.01,1.44
39.969758,116.304053,41.0,5.0,0.01,1.15
39.96973,116.304027,39.0,5.0,0.0,0.76
39.969734,116.303969,39.0,3.0,0.0,1.65
39.96973,116.30390700000001,39.0,4.0,0.01,1.32
39.969724,116.303858,38.0,5.0,0.0,0.85
39.969716,116.3038,39.0,4.0,0.01,1.25
39.969741,116.30373200000001,38.0,4.0,0.01,1.61
39.969736,116.303676,36.0,5.0,0.0,0.96
39.969732,116.30360900000001,36.0,5.0,0.01,1.15
39.96973,116.30356499999999,36.0,5.0,0.0,0.75
39.969743,116.303517,37.0,5.0,0.0,0.87
39.969728,116.30346999999999,38.0,5.0,0.0,0.87
39.969732,116.303423,36.0,5.0,0.0,0.81
39.969729,116.303374,35.0,5.0,0.0,0.84
39.969737,116.303349,38.0,5.0,0.0,0.46
39.969747,116.303321,41.0,5.0,0.0,0.53
39.969763,116.30329499999999,44.0,5.0,0.0,0.57
39.969778000000005,116.30325400000001,48.0,5.0,0.0,0.77
