"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"1","a4:b1:e9:6b:4b:b7","sex","MEO-6B4BB7","0","23-06-2017 at 05:50:32","37.202","-8.58889"
"2","00:1f:9f:ff:0d:b2","sex","MEO-FF0DB2","0","23-06-2017 at 05:50:32","37.202","-8.58889"
"3","00:1f:9f:90:ba:9b","sex","Thomson44D29D","0","23-06-2017 at 05:41:51","37.2033","-8.59055"
"4","9c:97:26:69:6c:1f","sex","VCBWLAN","0","23-06-2017 at 05:50:32","37.202","-8.58889"
"5","00:1f:9f:ff:26:f2","sex","LUKA","0","23-06-2017 at 05:52:53","37.1848","-8.58595"
"6","58:98:35:bb:71:33","sex","CORREIA","0","23-06-2017 at 05:52:53","37.1848","-8.58595"
"7","a4:b1:e9:ed:f8:04","sex","Patricia","0","23-06-2017 at 05:53:13","37.1814","-8.58396"
"8","e4:8d:8c:64:61:c9","sex","casadogalosolar","0","23-06-2017 at 05:53:53","37.176","-8.57903"
"9","24:1f:a0:19:8a:de","sex","VodafoneMobileWiFi-8ADE45","0","23-06-2017 at 05:53:13","37.1814","-8.58396"
"10","00:26:5b:15:85:78","sex","ZON-8570","0","23-06-2017 at 05:56:53","37.159","-8.55301"
"11","00:26:5b:15:85:79","sex","NOS_WIFI_Fon","0","23-06-2017 at 05:56:53","37.159","-8.55301"
"12","bc:4d:fb:4f:69:88","sex","MOTONEWS_ZON_STAND","0","23-06-2017 at 05:57:13","37.1585","-8.54568"
"13","30:b5:c2:d9:ed:26","sex","SOBR","0","23-06-2017 at 05:57:13","37.1585","-8.54568"
"14","2c:f4:c5:9b:00:90","sex","chbaw","0","23-06-2017 at 05:57:53","37.154","-8.53828"
"15","2c:f4:c5:9a:9d:b1","sex","Unknown","0","23-06-2017 at 05:57:53","37.154","-8.53828"
"16","2c:f4:c5:9a:9d:b0","sex","chbaw","0","23-06-2017 at 05:57:53","37.154","-8.53828"
"17","70:52:c5:ac:e4:10","sex","chbaw","0","23-06-2017 at 05:57:53","37.154","-8.53828"
"18","30:b5:c2:d9:9a:c2","sex","TP-LINK_D99AC2","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"19","a8:4e:3f:29:2d:d8","sex","NOS-2DD0","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"20","84:94:8c:0d:ec:a8","sex","ZON-ECA0","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"21","3c:47:11:50:db:af","sex","HUAWEI-E5172-DBAF","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"22","84:94:8c:0d:ef:68","sex","ZON-EF60","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"23","d0:72:dc:a9:db:40","sex","WiFree-CEPSA","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"24","a8:4e:3f:29:2d:d9","sex","NOS_WIFI_Fon","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"25","f0:f2:49:11:b4:99","sex","NOS_WIFI_Fon","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"26","84:94:8c:0d:ec:a9","sex","NOS_WIFI_Fon","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"27","84:94:8c:0d:ef:69","sex","NOS_WIFI_Fon","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"28","f0:f2:49:99:15:08","sex","NOS-1500","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"29","f0:f2:49:99:15:09","sex","NOS_WIFI_Fon","0","23-06-2017 at 05:59:14","37.1415","-8.54778"
"30","84:94:8c:0f:6e:18","sex","ZON-6E10","0","23-06-2017 at 05:59:54","37.136","-8.54569"
"31","00:26:5b:2e:45:c8","sex","WH","0","23-06-2017 at 05:59:54","37.136","-8.54569"
"32","a8:4e:3f:2c:ed:f8","sex","NOS-EDF0","0","23-06-2017 at 05:59:54","37.136","-8.54569"
"33","68:b6:fc:b1:66:f8","sex","FIGUEIRAS","0","23-06-2017 at 05:59:54","37.136","-8.54569"
"34","00:05:ca:8c:1e:08","sex","ZON-1E00","0","23-06-2017 at 05:59:54","37.136","-8.54569"
"35","9c:97:26:c4:b2:75","sex","MEO-C4B275","0","23-06-2017 at 05:59:54","37.136","-8.54569"
"36","d8:fb:5e:02:fd:26","sex","Cabovisao-2AB7","0","23-06-2017 at 05:59:54","37.136","-8.54569"
"37","84:94:8c:0f:6e:19","sex","NOS_WIFI_Fon","0","23-06-2017 at 05:59:54","37.136","-8.54569"
"38","a8:4e:3f:2c:ed:f9","sex","NOS_WIFI_Fon","0","23-06-2017 at 05:59:54","37.136","-8.54569"
"39","68:b6:fc:b1:66:f9","sex","NOS_WIFI_Fon","0","23-06-2017 at 05:59:54","37.136","-8.54569"
"40","00:26:5b:2e:45:c9","sex","NOS_WIFI_Fon","0","23-06-2017 at 05:59:54","37.136","-8.54569"
