"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"1","f0:f2:49:d7:68:58","qua","NOS-6850","1","19-07-2017 at 23:49:54","37.1306","-8.54264"
"2","84:94:8c:a1:9b:58","qua","NOS-9B50","0","19-07-2017 at 23:49:54","37.1306","-8.54264"
"3","f0:f2:49:d7:68:59","qua","NOS_WIFI_Fon","0","19-07-2017 at 23:49:54","37.1306","-8.54264"
"4","84:94:8c:a1:9b:59","qua","NOS_WIFI_Fon","0","19-07-2017 at 23:49:54","37.1306","-8.54264"
"5","84:94:8c:04:67:08","qua","ZON-6700","0","19-07-2017 at 23:49:54","37.1306","-8.54264"
"6","84:94:8c:04:67:09","qua","NOS_WIFI_Fon","0","19-07-2017 at 23:49:54","37.1306","-8.54264"
"7","f0:f2:49:11:fd:e9","qua","NOS_WIFI_Fon","0","19-07-2017 at 23:02:42","37.1306","-8.54264"
"8","f0:f2:49:11:fd:e8","qua","NOS-FDE0","0","19-07-2017 at 22:26:26","37.1306","-8.54264"
"9","1c:ab:c0:1f:3d:99","qua","NOS_WIFI_Fon","0","19-07-2017 at 23:29:01","37.1306","-8.54264"
"10","f0:f2:49:4c:10:78","qua","NOS-1070","0","19-07-2017 at 20:22:05","37.1327","-8.57162"
"11","1c:ab:c0:da:74:b8","qua","Capitao Mor Ameixa","0","19-07-2017 at 20:24:11","37.1306","-8.54264"
"12","ac:cf:85:ba:57:a9","qua","Hennelly WiFi","0","19-07-2017 at 20:24:11","37.1306","-8.54264"
"13","1c:ab:c0:da:74:b9","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:24:11","37.1306","-8.54264"
"14","f0:f2:49:4c:10:79","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:24:11","37.1306","-8.54264"
"15","3c:77:e6:a3:72:b9","qua","HP-Print-B9-LaserJet 1102","0","19-07-2017 at 20:09:39","37.1302","-8.53924"
"16","64:77:7d:2a:3f:c8","qua","NOS-3FC0","0","19-07-2017 at 20:09:39","37.1302","-8.53924"
"17","00:05:ca:6a:78:88","qua","Maia","0","19-07-2017 at 09:17:23","37.1368","-8.537"
"18","84:94:8c:7e:dc:d9","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:17:23","37.1368","-8.537"
"19","64:77:7d:2a:3f:c9","qua","NOS_WIFI_Fon","0","19-07-2017 at 20:09:39","37.1302","-8.53924"
"20","bc:14:01:07:14:d8","qua","ZON-14D0","0","19-07-2017 at 09:17:47","37.1368","-8.537"
"21","02:1a:11:fa:67:80","qua","AndroidAP","0","19-07-2017 at 09:17:47","37.1368","-8.537"
"22","78:8d:f7:08:0c:a8","qua","ZON-0CA0","0","19-07-2017 at 20:09:39","37.1302","-8.53924"
"23","1c:ab:c0:da:38:38","qua","O Nosso Bar","0","19-07-2017 at 18:53:34","37.1326","-8.57096"
"24","bc:14:01:07:14:d9","qua","NOS_WIFI_Fon","0","19-07-2017 at 09:17:47","37.1368","-8.537"
