"_id","bssid","dayoftheweek","ssid","attractiveness","dateTime","latitude","longitude"
"1","00:78:9e:ff:a4:dc","ter","HomeWirelessLan","1","18-07-2017 at 23:49:48","37.1433","-8.54521"
"2","9c:97:26:e9:b2:cf","ter","MEO-E9B2CF","0","18-07-2017 at 23:49:48","37.1433","-8.54521"
"3","84:94:8c:07:ab:68","ter","ZON-AB60","0","18-07-2017 at 23:49:28","37.1433","-8.5452"
"4","84:94:8c:07:ab:69","ter","NOS_WIFI_Fon","1","18-07-2017 at 23:49:28","37.1433","-8.5452"
"5","00:05:ca:8c:1e:09","ter","NOS_WIFI_Fon","1","18-07-2017 at 13:58:39","37.1434","-8.54494"
"6","00:05:ca:8c:1e:08","ter","ZON-1E00","0","18-07-2017 at 18:41:07","37.1436","-8.54476"
"7","84:94:8c:7a:9d:a9","ter","NOS_WIFI_Fon","0","18-07-2017 at 23:38:05","37.1433","-8.5452"
"8","84:94:8c:7a:9d:a8","ter","ZON-9DA0","0","18-07-2017 at 23:47:48","37.1433","-8.5452"
"9","30:91:8f:53:bd:96","ter","MEO-53BD96","0","18-07-2017 at 21:10:24","37.1433","-8.5452"
"10","32:91:8f:53:bd:97","ter","MEO-WiFi","0","18-07-2017 at 21:10:24","37.1433","-8.5452"
"11","c0:ac:54:f6:41:af","ter","Cabovisao-E4E8","0","18-07-2017 at 21:09:24","37.1434","-8.54523"
"12","4e:5e:0c:30:ef:e9","ter","","0","18-07-2017 at 13:16:51","37.1382","-8.54606"
"13","d4:ca:6d:d7:d4:cb","ter","WiFi Frota Azul 9915","0","18-07-2017 at 08:25:50","37.1432","-8.54523"
"14","00:8c:54:c0:70:c2","ter","ADSLPT-AB20645","0","18-07-2017 at 23:47:48","37.1433","-8.5452"
"15","1c:ab:c0:da:3c:f8","ter","NOS-3CF0","0","18-07-2017 at 23:47:28","37.1433","-8.5452"
"16","1c:ab:c0:da:3c:f9","ter","NOS_WIFI_Fon","0","18-07-2017 at 23:47:28","37.1433","-8.5452"
"17","f0:f2:49:94:03:b8","ter","alfredo","0","18-07-2017 at 13:57:33","37.1434","-8.54517"
"18","f0:f2:49:94:03:b9","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:57:33","37.1434","-8.54517"
"19","48:7b:6b:b5:91:48","ter","Vodafone-B59141","0","18-07-2017 at 18:43:01","37.1435","-8.54554"
"20","a4:2b:b0:b1:1a:47","ter","melissa","0","18-07-2017 at 18:42:07","37.1433","-8.54509"
"21","00:05:ca:6f:4d:c8","ter","ZON-4DC0","0","18-07-2017 at 18:42:07","37.1433","-8.54509"
"22","9c:97:26:7d:39:17","ter","MEO-7D3917","0","18-07-2017 at 13:19:17","37.1427","-8.54446"
"23","e0:b9:e5:b5:af:2b","ter","Bastos","0","18-07-2017 at 18:43:24","37.1435","-8.54554"
"24","30:74:96:97:a6:9d","ter","NOS_Internet_A69D","0","18-07-2017 at 08:49:27","37.1433","-8.54499"
"25","1c:ab:c0:1f:d6:b9","ter","NOS_WIFI_Fon","0","18-07-2017 at 18:41:07","37.1436","-8.54476"
"26","e2:b9:e5:b5:af:2c","ter","MEO-WiFi","0","18-07-2017 at 18:43:24","37.1435","-8.54554"
"27","9e:97:26:11:f9:37","ter","MEO-WiFi","0","18-07-2017 at 18:42:07","37.1433","-8.54509"
"28","00:05:ca:6f:4d:c9","ter","NOS_WIFI_Fon","0","18-07-2017 at 18:42:07","37.1433","-8.54509"
"29","a8:4e:3f:2c:ed:f9","ter","NOS_WIFI_Fon","1","18-07-2017 at 18:42:07","37.1433","-8.54509"
"30","9e:97:26:7d:39:18","ter","MEO-WiFi","0","18-07-2017 at 13:19:17","37.1427","-8.54446"
"31","08:76:ff:04:b3:70","ter","Paulo","0","18-07-2017 at 18:42:07","37.1433","-8.54509"
"32","68:b6:fc:b1:66:f8","ter","FIGUEIRAS","0","18-07-2017 at 08:52:33","37.1431","-8.54483"
"33","00:26:5b:06:b8:d8","ter","Pirilampo","0","18-07-2017 at 08:49:49","37.1431","-8.5449"
"34","00:26:5b:2e:45:c8","ter","WH","0","18-07-2017 at 13:19:17","37.1427","-8.54446"
"35","1c:ab:c0:1f:d6:b8","ter","NOS-D6B0","0","18-07-2017 at 18:41:07","37.1436","-8.54476"
"36","0a:76:ff:04:b3:71","ter","MEO-WiFi","0","18-07-2017 at 18:42:07","37.1433","-8.54509"
"37","68:b6:fc:b1:66:f9","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:19:17","37.1427","-8.54446"
"38","00:26:5b:06:b8:d9","ter","NOS_WIFI_Fon","0","18-07-2017 at 08:49:49","37.1431","-8.5449"
"39","a8:4e:3f:2c:ed:f8","ter","NOS-EDF0","0","18-07-2017 at 18:42:07","37.1433","-8.54509"
"40","48:7b:6b:b5:9d:a4","ter","Vodafone-B59D9B","0","18-07-2017 at 18:41:07","37.1436","-8.54476"
"41","00:26:5b:2e:45:c9","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:58:39","37.1434","-8.54494"
"42","9c:97:26:8e:84:1d","ter","EmaBeatriz","0","18-07-2017 at 13:19:17","37.1427","-8.54446"
"43","4c:5e:0c:31:70:8f","ter","WiFi FROTA AZUL 866","0","18-07-2017 at 13:16:51","37.1382","-8.54606"
"44","d8:fb:5e:02:fd:26","ter","Cabovisao-2AB7","0","18-07-2017 at 13:19:17","37.1427","-8.54446"
"45","00:05:ca:98:be:58","ter","ZON-BE50","0","18-07-2017 at 08:53:14","37.144","-8.54601"
"46","9c:97:26:88:7f:59","ter","MEO-887F59","0","18-07-2017 at 08:53:14","37.144","-8.54601"
"47","a4:b1:e9:6c:92:0d","ter","CANELAS","0","18-07-2017 at 08:53:14","37.144","-8.54601"
"48","a4:b1:e9:d2:df:51","ter","Vodafone-D2DF51","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"49","00:26:44:77:71:31","ter","Thomson777131","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"50","54:67:51:a6:c6:18","ter","NOWO-6C613","0","18-07-2017 at 13:59:00","37.1435","-8.54493"
"51","c0:ac:54:f9:16:12","ter","Cabovisao-C31E","0","18-07-2017 at 18:41:07","37.1436","-8.54476"
"52","00:05:ca:98:be:59","ter","NOS_WIFI_Fon","0","18-07-2017 at 08:53:14","37.144","-8.54601"
"53","84:94:8c:08:1a:89","ter","NOS_WIFI_Fon","0","18-07-2017 at 08:53:14","37.144","-8.54601"
"54","a6:b1:e9:6c:92:0e","ter","MEO-WiFi","0","18-07-2017 at 08:53:14","37.144","-8.54601"
"55","9e:97:26:e4:fe:e4","ter","MEO-WiFi","0","18-07-2017 at 08:53:14","37.144","-8.54601"
"56","f0:f2:49:4b:6a:a9","ter","NOS_WIFI_Fon","0","18-07-2017 at 08:53:15","37.144","-8.54601"
"57","9e:97:26:b8:6a:6e","ter","MEO-WiFi","0","18-07-2017 at 08:53:15","37.144","-8.54601"
"58","00:26:5b:85:f5:d9","ter","NOS_WIFI_Fon","1","18-07-2017 at 18:40:36","37.1433","-8.54564"
"59","1c:ab:c0:de:96:28","ter","NOS-9620","0","18-07-2017 at 18:40:36","37.1433","-8.54564"
"60","34:b3:54:df:23:dc","ter","Rede Privada","0","18-07-2017 at 13:58:59","37.1435","-8.54493"
"61","bc:14:01:73:b8:e8","ter","ZON-B8E0","0","18-07-2017 at 18:40:36","37.1433","-8.54564"
"62","9c:97:26:d6:bd:f7","ter","MEO-D6BDF7","0","18-07-2017 at 08:53:38","37.1426","-8.54585"
"63","9c:97:26:d4:d0:5d","ter","MEO-D4D05D","0","18-07-2017 at 08:53:15","37.144","-8.54601"
"64","1c:8e:5c:f1:df:17","ter","Quinta","0","18-07-2017 at 18:40:36","37.1433","-8.54564"
"65","1c:ab:c0:de:96:29","ter","NOS_WIFI_Fon","0","18-07-2017 at 18:40:36","37.1433","-8.54564"
"66","bc:14:01:73:b8:e9","ter","NOS_WIFI_Fon","0","18-07-2017 at 18:40:36","37.1433","-8.54564"
"67","9e:97:26:d6:bd:f8","ter","MEO-WiFi","0","18-07-2017 at 08:53:38","37.1426","-8.54585"
"68","64:77:7d:2a:56:e9","ter","NOS_WIFI_Fon","0","18-07-2017 at 13:59:43","37.1432","-8.54566"
"69","4c:5e:0c:03:89:b5","ter","WiFi MUNDIAL TURISMO 266","0","18-07-2017 at 08:56:25","37.153","-8.54342"
"70","d0:72:dc:a9:db:40","ter","WiFree-CEPSA","0","18-07-2017 at 18:35:10","37.1511","-8.54086"
"71","f4:dc:f9:31:12:bd","ter","RN-net","0","18-07-2017 at 08:56:25","37.153","-8.54342"
"72","14:cc:20:d2:41:72","ter","TP-LINK_POCKET_3020_D24172","0","18-07-2017 at 08:56:25","37.153","-8.54342"
"73","98:de:d0:ba:4d:fa","ter","TP-LINK_4DFA","0","18-07-2017 at 08:56:25","37.153","-8.54342"
"74","00:78:9e:ff:93:f4","ter","Cabovisao-87C6","0","18-07-2017 at 08:56:25","37.153","-8.54342"
"75","0c:47:3d:09:d8:69","ter","NOS_WIFI_Fon","0","18-07-2017 at 08:56:25","37.153","-8.54342"
