Lat,Long,Alt_m,Alt_dif,Date,hour,Diftime,SP-POI,dist_Km,dist_m,speed_m,speed_km,Week_day,user,transp
39.999875,116.327371,50,-124,2009-06-20,2:45:27,-42804,-,0.13,134.92,-0.0,-0.0,5,000,Stopped
39.999858,116.32732,53,3,2009-06-20,2:45:33,6,-,0.0,4.74,0.79,2.84,5,000,Walking
39.999825,116.327202,49,-4,2009-06-20,2:45:38,5,-,0.01,10.7,2.14,7.7,5,000,Running
39.999829,116.327046,49,0,2009-06-20,2:45:43,5,-,0.01,13.3,2.66,9.58,5,000,Running
39.999834,116.326861,50,1,2009-06-20,2:45:48,5,-,0.02,15.77,3.15,11.34,5,000,Running
39.99982,116.326655,53,3,2009-06-20,2:45:53,5,-,0.02,17.62,3.52,12.67,5,000,Bycicl/Car
39.999835,116.326438,53,0,2009-06-20,2:45:58,5,-,0.02,18.56,3.71,13.36,5,000,Bycicl/Car
39.999845,116.326259,53,0,2009-06-20,2:46:3,5,-,0.02,15.29,3.06,11.02,5,000,Running
39.999844,116.325975,50,-3,2009-06-20,2:46:8,5,-,0.02,24.19,4.84,17.42,5,000,Bycicl/Car
39.999817,116.325726,51,1,2009-06-20,2:46:13,5,-,0.02,21.42,4.28,15.41,5,000,Bycicl/Car
39.999784,116.325497,53,2,2009-06-20,2:46:18,5,-,0.02,19.85,3.97,14.29,5,000,Bycicl/Car
39.999789,116.325255,53,0,2009-06-20,2:46:23,5,-,0.02,20.62,4.12,14.83,5,000,Bycicl/Car
39.999756,116.325047,56,3,2009-06-20,2:46:28,5,-,0.02,18.09,3.62,13.03,5,000,Bycicl/Car
39.999761,116.324852,60,4,2009-06-20,2:46:33,5,-,0.02,16.62,3.32,11.95,5,000,Running
39.999819,116.324693,62,2,2009-06-20,2:46:38,5,-,0.02,15.0,3.0,10.8,5,000,Running
39.999768,116.324524,66,4,2009-06-20,2:46:43,5,-,0.02,15.47,3.09,11.12,5,000,Running
39.999677,116.324188,68,2,2009-06-20,2:46:48,5,-,0.03,30.36,6.07,21.85,5,000,Metro
39.999643,116.323965,71,3,2009-06-20,2:46:53,5,-,0.02,19.37,3.87,13.93,5,000,Bycicl/Car
39.999613,116.323675,73,2,2009-06-20,2:46:58,5,-,0.02,24.93,4.99,17.96,5,000,Bycicl/Car
39.999583,116.323416,75,2,2009-06-20,2:47:3,5,-,0.02,22.31,4.46,16.06,5,000,Bycicl/Car
